,STT,CustomerRef,CustomerName,SoldToCode,SoldToName,MajorAccount,MajorAccountCode,MajorAccountCode.1,Channel,SubChannel,Longitude,Latitude,City,State,Country,SalesOrganization,Region
29,30,11000321,Customer 79,11000321,Company 35,Account 6,91346,91223,Foodservice,National Distributor,151.7101163,-32.8770644,Newcastle,New South Wales,Australia,Organization 1,Central Coast & Newcastle
30,31,11000322,Customer 80,11000322,Company 36,Account 6,91346,91223,Foodservice,National Distributor,149.8843121,-36.9348,Bega Valley,New South Wales,Australia,Organization 1,Capital Region
31,32,11000323,Customer 81,11000323,Company 37,Account 6,91346,91223,Foodservice,National Distributor,115.8088949,-32.096643,Cockburn,Western Australia,Australia,Organization 1,Perth
32,33,11000329,Customer 83,11000329,Company 39,Account 6,91346,91223,Foodservice,National Distributor,153.0352703,-26.6590081,Sunshine Coast,Queensland,Australia,Organization 1,Sunshine Coast & Wide Bay
33,34,11000330,Customer 84,11000330,Company 40,Account 6,91346,91223,Foodservice,National Distributor,150.9405261,-33.8019265,Holroyd,New South Wales,Australia,Organization 1,Greater Sydney
34,35,11000331,Customer 85,11000331,Company 41,Account 6,91346,91223,Foodservice,National Distributor,150.8994209,-31.0942355,Tamworth Regional,New South Wales,Australia,Organization 1,New England and North West
35,36,11000333,Customer 86,11000333,Company 42,Account 6,91346,91223,Foodservice,National Distributor,151.9177903,-27.5471999,Toowoomba,Queensland,Australia,Organization 1,"Darling Downs, Maranoa & Toowoomba"
36,37,11000334,Customer 87,11000334,Company 43,Account 6,91346,91223,Foodservice,National Distributor,146.7630438,-19.275298,Townsville,Queensland,Australia,Organization 1,Townsville
37,38,11000335,Customer 88,11000335,Company 44,Account 6,91346,91223,Foodservice,National Distributor,150.7905667,-34.5492333,Shellharbour,New South Wales,Australia,Organization 1,"Sth Highlands, Shoalhaven & Illawarra"
38,39,11000368,Customer 89,11000368,Company 45,Account 3,91363,91240,Foodservice,National Distributor,149.3060262,-33.5577678,Blayney,New South Wales,Australia,Organization 1,Central West
39,40,11000413,Customer 90,11000413,Company 46,Account 3,91363,91240,Foodservice,National Distributor,146.5634427,-38.1831991,Latrobe,Victoria,Australia,Organization 1,Latrobe - Gippsland
40,41,11000417,Customer 91,11000417,Company 47,Account 5,91401,91278,Foodservice,Independent Distributor,115.8196033,-31.86064,Stirling,Western Australia,Australia,Organization 1,Perth
41,42,11000431,Customer 92,11000431,Company 48,Account 3,91363,91240,Foodservice,National Distributor,145.8473795,-41.0402172,Burnie,Tasmania,Australia,Organization 1,West and North West
42,43,11000440,Customer 93,11000440,Company 49,Account 3,91363,91240,Foodservice,National Distributor,144.7685357,-36.1407379,Campaspe,Victoria,Australia,Organization 1,Shepparton
43,44,11000515,Customer 94,11000515,Company 50,Account 8,91353,91230,Grocery,National Distributor,144.2649149,-36.7409173,Greater Bendigo,Victoria,Australia,Organization 1,Bendigo
44,45,11000519,Customer 95,11000519,Company 51,Account 8,91353,91230,Grocery,National Distributor,150.9972903,-33.7938926,Parramatta,New South Wales,Australia,Organization 1,Greater Sydney
45,46,11000523,Customer 96,11000523,Company 52,Account 8,91353,91230,Grocery,National Distributor,138.6135972,-34.8259881,Salisbury,South Australia,Australia,Organization 1,Adelaide
46,47,11000524,Customer 97,11000524,Company 53,Account 8,91353,91230,Grocery,National Distributor,145.0242766,-37.7480962,Darebin,Victoria,Australia,Organization 1,Greater Melbourne
47,48,11000527,Customer 98,11000527,Company 54,Account 8,91353,91230,Grocery,National Distributor,144.3654031,-38.1666366,Greater Geelong,Victoria,Australia,Organization 1,Ballarat & Geelong
48,49,11000531,Customer 99,11000531,Company 55,Account 8,91353,91230,Grocery,National Distributor,149.1928227,-21.1416808,Mackay,Queensland,Australia,Organization 1,Mackay - Isaac - Whitsunday
49,50,11000532,Customer 100,11000532,Company 56,Account 8,91353,91230,Grocery,National Distributor,153.3476771,-27.9950797,Gold Coast,Queensland,Australia,Organization 1,Gold Coast
50,51,11000534,Customer 101,11000534,Company 57,Account 8,91353,91230,Grocery,National Distributor,146.7536518,-19.2675381,Townsville,Queensland,Australia,Organization 1,Townsville
51,52,11000535,Customer 102,11000535,Company 58,Account 8,91353,91230,Grocery,National Distributor,145.7670992,-16.9350252,Cairns,Queensland,Australia,Organization 1,Cairns
52,53,11000536,Customer 103,11000536,Company 59,Account 8,91353,91230,Grocery,National Distributor,145.1403214,-37.9242013,Monash,Victoria,Australia,Organization 1,Greater Melbourne
53,54,11000538,Customer 104,11000538,Company 60,Account 8,91353,91230,Grocery,National Distributor,150.5071158,-23.3493433,Rockhampton,Queensland,Australia,Organization 1,Central Queensland
54,55,11000570,Customer 105,11000570,Company 61,Account 9,91357,91234,Grocery,Clearance,144.8269525,-37.8118685,Brimbank,Victoria,Australia,Organization 1,Greater Melbourne
55,56,11000591,Customer 106,11000591,Company 62,Account 3,91363,91240,Foodservice,National Distributor,152.7212502,-27.6155157,Ipswich,Queensland,Australia,Organization 1,Greater Brisbane
56,57,11000739,Customer 107,11000739,Company 63,Account 4,91418,91295,Foodservice,National Distributor,150.3196024,-33.7007216,Blue Mountains,New South Wales,Australia,Organization 1,Greater Sydney
57,58,11000744,Customer 108,11000744,Company 64,Account 3,91363,91240,Foodservice,National Distributor,145.0249543,-37.7515853,Darebin,Victoria,Australia,Organization 1,Greater Melbourne
58,59,11000769,Customer 110,11000769,Company 66,Account 5,91401,91278,Foodservice,Independent Distributor,150.8912395,-34.388685,Wollongong,New South Wales,Australia,Organization 1,"Sth Highlands, Shoalhaven & Illawarra"
59,60,11000787,Customer 111,11000787,Company 67,Account 3,91363,91240,Foodservice,National Distributor,138.0291376,-33.1838961,Port Pirie City and Dists,South Australia,Australia,Organization 1,Barossa - Yorke - Mid North
60,61,11000788,Customer 112,11000788,Company 68,Account 3,91363,91240,Foodservice,National Distributor,151.0141158,-33.8776663,Auburn,New South Wales,Australia,Organization 1,Greater Sydney
61,62,11000800,Customer 114,11000800,Company 70,Account 4,91418,91295,Foodservice,National Distributor,152.4719361,-31.9014264,Greater Taree,New South Wales,Australia,Organization 1,Mid North Coast
62,63,11000819,Customer 116,11000819,Company 72,Account 5,91401,91278,Foodservice,Independent Distributor,151.1055024,-34.0256225,Sutherland,New South Wales,Australia,Organization 1,Greater Sydney
63,64,11000975,Customer 117,11000975,Company 73,Account 3,91363,91240,Foodservice,National Distributor,144.9336842,-37.7972939,Melbourne,Victoria,Australia,Organization 1,Greater Melbourne
64,65,11001001,Customer 118,11001001,Company 74,Account 3,91363,91240,Foodservice,National Distributor,141.4250484,-31.9531869,Broken Hill,New South Wales,Australia,Organization 1,Far West and Orana
65,66,11001010,Customer 120,11001010,Company 76,Account 3,91363,91240,Foodservice,National Distributor,151.0924466,-33.9439431,Hurstville,New South Wales,Australia,Organization 1,Greater Sydney
66,67,11001011,Customer 121,11001011,Company 77,Account 3,91363,91240,Foodservice,National Distributor,153.1012828,-30.3130124,Coffs Harbour,New South Wales,Australia,Organization 1,Coffs Harbour - Grafton
67,68,11001012,Customer 122,11001012,Company 78,Account 3,91363,91240,Foodservice,National Distributor,151.6315831,-32.8076623,Newcastle,New South Wales,Australia,Organization 1,Central Coast & Newcastle
68,69,11001014,Customer 123,11001014,Company 79,Account 5,91401,91278,Foodservice,Independent Distributor,115.9291528,-31.9499011,Belmont,Western Australia,Australia,Organization 1,Perth
69,70,11001015,Customer 124,11001015,Company 80,Account 3,91363,91240,Foodservice,National Distributor,145.194768,-38.0302523,Greater Dandenong,Victoria,Australia,Organization 1,Greater Melbourne
70,71,11001019,Customer 125,11001019,Company 81,Account 8,91353,91230,Grocery,National Distributor,115.8217492,-31.8614967,Stirling,Western Australia,Australia,Organization 1,Perth
71,72,11001020,Customer 126,11001020,Company 82,Account 8,91353,91230,Grocery,National Distributor,115.9130318,-32.0668743,Canning,Western Australia,Australia,Organization 1,Perth
72,73,11001028,Customer 127,11001028,Company 83,Account 3,91363,91240,Foodservice,National Distributor,145.1819563,-38.2190983,Mornington Peninsula,Victoria,Australia,Organization 1,Greater Melbourne
73,74,11001032,Customer 128,11001032,Company 84,Account 3,91363,91240,Foodservice,National Distributor,147.4097499,-35.1289401,Wagga Wagga,New South Wales,Australia,Organization 1,Riverina
74,75,11001049,Customer 129,11001049,Company 85,Account 4,91418,91295,Foodservice,National Distributor,151.0844151,-33.723173,Hornsby,New South Wales,Australia,Organization 1,Greater Sydney
75,76,11001050,Customer 130,11001050,Company 86,Account 4,91418,91295,Foodservice,National Distributor,151.6978187,-32.9906474,Lake Macquarie,New South Wales,Australia,Organization 1,Central Coast & Newcastle
76,77,11001055,Customer 132,11001055,Company 88,Account 4,91418,91295,Foodservice,National Distributor,145.218178,-37.897224,Knox,Victoria,Australia,Organization 1,Greater Melbourne
77,78,11001159,Customer 134,11001159,Company 90,Account 3,91363,91240,Foodservice,National Distributor,144.7281494,-37.8658639,Wyndham,Victoria,Australia,Organization 1,Greater Melbourne
78,79,11001168,Customer 136,11001168,Company 92,Account 4,91418,91295,Foodservice,National Distributor,148.6314753,-32.2466559,Dubbo,New South Wales,Australia,Organization 1,Far West and Orana
79,80,11001190,Customer 139,11001190,Company 95,Account 3,91363,91240,Foodservice,National Distributor,153.3471521,-27.997073,Gold Coast,Queensland,Australia,Organization 1,Gold Coast
80,81,11001191,Customer 140,11001191,Company 96,Account 3,91363,91240,Foodservice,National Distributor,146.7297256,-19.2580017,Townsville,Queensland,Australia,Organization 1,Townsville
81,82,11001192,Customer 141,11001192,Company 97,Account 3,91363,91240,Foodservice,National Distributor,145.7703923,-16.9410645,Cairns,Queensland,Australia,Organization 1,Cairns
82,83,11001193,Customer 142,11001193,Company 98,Account 3,91363,91240,Foodservice,National Distributor,153.0325361,-26.6648371,Sunshine Coast,Queensland,Australia,Organization 1,Sunshine Coast & Wide Bay
83,84,11001194,Customer 143,11001194,Company 99,Account 4,91418,91295,Foodservice,National Distributor,153.2475926,-27.7610578,Gold Coast,Queensland,Australia,Organization 1,Gold Coast
84,85,11001214,Customer 144,11001214,Company 100,Account 5,91401,91278,Foodservice,Independent Distributor,150.8888331,-33.8515351,Fairfield,New South Wales,Australia,Organization 1,Greater Sydney
85,86,11001230,Customer 145,11001230,Company 101,Account 3,91363,91240,Foodservice,National Distributor,152.8398507,-25.2874777,Fraser Coast,Queensland,Australia,Organization 1,Sunshine Coast & Wide Bay
86,87,11001233,Customer 146,11001233,Company 102,Account 3,91363,91240,Foodservice,National Distributor,116.177807,-31.9038208,Mundaring,Western Australia,Australia,Organization 1,Perth
87,88,11001240,Customer 147,11001240,Company 103,Account 3,91363,91240,Foodservice,National Distributor,150.9527353,-33.8507077,Holroyd,New South Wales,Australia,Organization 1,Greater Sydney
88,89,11001290,Customer 148,11001290,Company 104,Account 8,91353,91230,Grocery,National Distributor,133.865755,-23.6942001,Alice Springs,Northern Territory,Australia,Organization 1,Northern Territory - Outback
